sno,Product_Name,Product_Author,Product_Formate,Product_Prize,Product_Star_Rating,Product_Category,Product_Image_Link
0,Lessons in Chemistry,Bonnie Garmus,Paperback,?9.99,5,Fiction,https://images.awesomebooks.com/images/books/medium/97818/9781804990926.jpg
1,Demon Copperhead,Barbara Kingsolver,Paperback,?10.43,5,Fiction,https://images.awesomebooks.com/images/books/medium/97805/9780571376483.jpg
2,It Ends With Us,Colleen Hoover,Paperback,?9.99,5,Fiction,https://images.awesomebooks.com/images/books/medium/97814/9781471156267.jpg
3,Yellowface,Rebecca F Kuang,Hardback,?16.99,4.5,Fiction,https://images.awesomebooks.com/images/books/medium/97800/9780008532772.jpg
4,It Starts with Us,Colleen Hoover,Hardback,?14.99,5,Fiction,https://images.awesomebooks.com/images/books/medium/97813/9781398518162.jpg
5,Lessons,Ian McEwan,Paperback,?10.21,5,Fiction,https://images.awesomebooks.com/images/books/medium/97815/9781529116311.jpg
6,The Guilty Couple,C.L. Taylor,Paperback,?8.99,4.5,Fiction,https://images.awesomebooks.com/images/books/medium/97800/9780008379292.jpg
7,The Maid,Nita Prose,Paperback,?8.99,4.5,Fiction,https://images.awesomebooks.com/images/books/medium/97800/9780008435769.jpg
8,The Last Devil To Die,Richard Osman,Hardback,?22.00,5,Fiction,https://images.awesomebooks.com/images/books/medium/97802/9780241512449.jpg
9,Shrines of Gaiety,Kate Atkinson,Paperback,?10.43,4.5,Fiction,https://images.awesomebooks.com/images/books/medium/97818/9781804991053.jpg
10,Trespasses,Louise Kennedy,Paperback,?8.99,5,Fiction,https://images.awesomebooks.com/images/books/medium/97815/9781526623362.jpg
11,The Thursday Murder Club,Richard Osman,Paperback,?9.99,4.5,Fiction,https://images.awesomebooks.com/images/books/medium/97802/9780241988268.jpg
12,The Man Who Died Twice,Richard Osman,Paperback,?9.99,5,Fiction,https://images.awesomebooks.com/images/books/medium/97802/9780241988244.jpg
13,Happy Place,Emily Henry,Hardback,?14.99,5,Fiction,https://images.awesomebooks.com/images/books/medium/97802/9780241609460.jpg
14,How to Kill Your Family,Bella Mackie,Paperback,?9.99,4.5,Fiction,https://images.awesomebooks.com/images/books/medium/97800/9780008365943.jpg
15,Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Paperback,?8.99,5,Fiction,https://images.awesomebooks.com/images/books/medium/97813/9781398515697.jpg
16,Wrong Place Wrong Time,Gillian McAllister,Paperback,?8.99,5,Fiction,https://images.awesomebooks.com/images/books/medium/97814/9781405949842.jpg
17,The Midnight Library,Matt Haig,Paperback,?9.99,5,Fiction,https://images.awesomebooks.com/images/books/medium/97817/9781786892737.jpg
18,Where the Crawdads Sing,Delia Owens,Paperback,?9.99,5,Fiction,https://images.awesomebooks.com/images/books/medium/97814/9781472154668.jpg
19,The Marlow Murder Club,Robert Thorogood,Paperback,?8.99,4.5,Fiction,https://images.awesomebooks.com/images/books/medium/97800/9780008435912.jpg
20,One of the Girls,Lucy Clarke,Paperback,?8.99,5,Fiction,https://images.awesomebooks.com/images/books/medium/97800/9780008462413.jpg
21,Still Life,Sarah Winman,Paperback,?8.99,5,Fiction,https://images.awesomebooks.com/images/books/medium/97800/9780008283391.jpg
22,Between Us,Mhairi McFarlane,Paperback,?8.99,5,Fiction,https://images.awesomebooks.com/images/books/medium/97800/9780008412487.jpg
23,Violeta,Isabel Allende,Paperback,?8.99,5,Fiction,https://images.awesomebooks.com/images/books/medium/97815/9781526648365.jpg
24,Cleopatra and Frankenstein,Coco Mellors,Paperback,?10.43,4.5,Fiction,https://images.awesomebooks.com/images/books/medium/97800/9780008421793.jpg
25,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Paperback,?10.43,5,Fiction,https://images.awesomebooks.com/images/books/medium/97815/9781529115543.jpg
